SMILES,Masse_Molaire
OCc1cccs1,114.16554
C1=C(c2c[nH]c3ccccc23)CNCC1,198.26366
CCC(NC)C(=O)NC1CC(=O)OC1O,216.23434
CCc1ccccc1S,138.22999
c1ccc(CNc2ncnc3ccccc23)cc1,235.28381
NS(=O)(=O)c1cccs1,163.21799
C#CCN(C)C,83.13166
ONc1ccccc1,109.12588
CC1N=C(N)OC1C,114.1457
CCCCN/C(=N/C#N)NCC,168.23944
O=C(Nc1ccccc1)c1cccnc1,198.22059
C=Cc1c(C)ncc(C#N)c1Nc1ccc2[nH]ccc2c1C,288.34644
CC(=O)C(F)(F)CN,123.10128
c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,247.29452
O=C(NO)C1(S)CCOCC1,177.22144
CC(C)(Cc1ccc2ccccc2c1)NCC(O)CO,273.37001
CNCC(O)CCN,118.17746
CCC(C(=O)NO)N(C)S,164.22598
OC1CCCOC1SNCc1ccccc1,239.33388
O=c1[nH]c2ccccc2c2c1CSCC2,217.28684
CC1SC(C)C(O)C(O)C1O,178.24926
NC(=O)c1cccc2c[nH]nc12,161.16067
NC(=O)CC(O)C(F)(F)F,157.09114
CC1CCC(C(C)C)C(NC(=O)Oc2ccccc2)C1,275.3859
CCC(O)C(COC)NC(=O)c1c(F)cccc1F,273.27578
CC(=O)NC1C(N)CC=CC1N(C)C,197.27735
CC(C)C(CS)C(N)=O,147.23852
CNC(CO)C(=O)O,119.11916
OC(Cc1ccccn1)c1ccccc1,199.24842
CN(C)CC(=O)O,103.11976
CC(C)=CC(=O)O,100.11582
CN1CCCC1C(=O)NCc1ccccc1,218.29482
CNCCO,75.10965
NC1=NC(N)=NCC1,112.13311
CC(=O)CC(Nc1ccccc1)c1ccccc1,239.31228
OCc1c[nH]cn1,98.10324
Cc1c[nH]c2ncnc(N)c12,148.16522
Cc1ccc(O)c(O)c1,124.13722
O=c1[nH]ccc2ccccc12,145.15797
CNCC(=O)O,89.09318
CCN(O)C(N)=O,104.10782
CCc1c[nH]cn1,96.13042
CC1=NCNC(c2ccccc2)=C1CN,201.2676
Oc1cccc2c1NCS2,153.20157
Cc1ccc(O)c2[nH]c(=O)sc12,181.21168
CNCCNCc1ccc2c(c1)OCC=C2,218.29482
O=S(=O)(NO)c1ccccc1,173.18968
CCCCNC(=O)CCC,143.22667
CCn1c(NC(=O)c2ccccc2)nc2ccccc21,265.3098
CC1=C(C(=O)O)C(c2ccccc2)C(C(=O)O)=C(C)N1,273.2839
O=C(O)C(c1ccccc1)C1CCCCN1,219.27958
CNC(C)C(=O)O,103.11976
Oc1ccc2c(c1O)CCCC2,164.20108
Oc1ccc2c(c1O)-c1ccccc1CC2,212.24388
CCN1CCNC1=O,114.1457
NCCc1ccccc1,121.17964
CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3,230.30552
CSC(C(N)=O)C(C)C,147.23852
CC/N=C(/N)N[N+](=O)[O-],132.12122
CCC(C(=O)O)N(C)S,149.21134
CCC(NC)C(O)CC(C)C,159.26914
NCCC(O)c1ccccc1,151.20561
CCCC(=O)NC(C)CCC,157.25325
OC1CCC2C(=CCC3CCCCC32)C1,206.32388
CNCC1=NCCN1,113.16094
CCCCNCCOC,131.21598
CCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,280.38734
COC(C)C1=NCCN1,128.17227
C=NC(C(=O)O)C(C)O,131.12985
CC(C)/N=C(\S)Nc1ccccc1,194.29656
NC1CC1c1c[nH]c2ccccc12,172.22637
Cc1cc(O)c(C(=O)c2ccccc2)c(O)c1,228.24328
O=C(NO)C1CCCN1,130.14509
CNCC(C)NCC(O)c1ccccc1,208.3
Cc1cc(O)nc2ccccc12,159.18456
CCCC(=O)NC,101.14694
O=C(O)/C=N/O,89.05012
CCO/C(O)=C1\C(C)=NC=CC1c1ccccc1,243.30098
COC(C(=O)O)c1ccccc1,166.17389
c1ccc(CNc2ccccc2)cc1,183.24902
