SMILES,Masse_Molaire
CNCCC(C)O,103.16282
CCCC(=O)O,88.10512
CCCCNC(=O)CCC,143.22667
Nc1[nH]c(=O)ncc1F,129.09246
O=C1C=CC2C(=C1)CCC1CCCCC12,202.29212
O=C1C(CO)C2SCCN12,159.20616
COc1cccc(N)c1,123.15246
O=C(C1=CCCN1)c1cc2ccccc2[nH]1,212.24718
CC1=CC(C)(C)Nc2ccc3c(c21)COCC3,229.31746
CC#CCN1CCCC1,123.19551
CNC(=O)c1ccccc1,135.16316
O=C1NCc2cccc([N+](=O)[O-])c21,178.14484
c1ccc(N2CCNCC2)cc1,162.23155
c1ccc(NC2=NCCN2)cc1,161.20374
COc1ccccc1N1CCNCC1,192.25753
O=S1(=O)CCCc2ccsc21,188.26721
CCC(C)C(=O)N1CCCC1C(=O)O,199.24687
Cn1c(=O)c2nc(-c3ccccc3)[nH]c2n(C)c1=O,256.25998
CC(C)NC(=O)C(CS)C(C)C,189.31826
CNCC(O)COC,119.16222
NCC(O)COc1ccccc1,167.20502
CNCC1=NCCN1,113.16094
CC(=O)NC(N)=S,118.15754
COC(C)C1=NCCN1,128.17228
OCCCN1CCC(c2noc3ccccc23)CC1,260.3315
c1ccc2c(C3CCNCC3)noc2c1,202.25236
Fc1ccc2c(C3CCNCC3)noc2c1,220.24282
CCN1C(=O)CCC1C,127.18422
CC(CS)C(=O)O,120.17012
CCCC(=O)NC,101.14694
CCCn1nc(-c2ccccc2)oc1=O,204.22518
CC(C)C(N)C(=O)N1CCCC1,170.25202
CN1N=C(c2ccccc2)OCC1=O,190.19859
Cn1cnc(S(N)(=O)=O)c1,161.18228
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,267.36544
CCC(C(C)O)n1ccnc1,154.20955
COCc1ccc2ccccc2n1,173.21113
c1nc(CC2CCNCC2)c[nH]1,165.2355
CC1CCN(C)CC1,113.2007
O=C1NC(=O)C(c2ccccc2)N1,176.17202
CN(c1ccccc1)S(=O)(=O)c1ccccc1,247.31282
Nc1ccccc1C(=O)NO,152.15061
O=C(NO)c1ccccc1,137.13597
OCCCO,76.09442
O=S(=O)(Nc1ccccc1)c1ccccc1,233.28624
N=C(N)c1cccs1,126.17954
CS(=O)(=O)c1cc2ccccc2cc1N,221.27554
N#CNC(=N)N,84.07996
CC(C)N(Cc1ccccc1)S(=O)(=O)c1ccccc1,289.39256
CN1CCCC1CNC(=O)c1ccccc1O,234.29422
N=C(N)NS(=O)(=O)c1ccccc1,199.23026
O=S(=O)(NCCc1ccccc1)c1ccccc1,261.3394
CCNC(=O)c1c(O)cccc1O,181.18854
CCC(C)(C)C(=O)Nc1cccc2c1OCC2,233.30616
CC(C)(C)OC(=O)N1CCCCCCNCCCCC1,284.43748
CCCC(C)=O,86.1323
CCC(NC)C(N)=O,116.16158
CC(C)=NOCC(C)O,131.17292
CC(C)(C)NCC(O)CO,147.21537
CC(=O)C1=CCCC2CCC1N2,165.2322
NS(=O)(=O)Oc1ccc2c(c1)CCCC2,227.28012
CN1Cc2ccccc2CC1C(=O)O,191.22642
CNC(=O)C(F)(F)C(C)=O,151.11138
CCCCN(CCC)C1COc2ccccc2C1,247.37579
COc1cccc2c1CCCO2,164.20108
c1ccc(OCCCN2CCOCC2)cc1,221.29546
CC1=CCNCC1,97.15824
COc1cccc2c1CCCC2,162.22826
C=COC(=O)c1ccccc1,148.15862
CC1C2CCCc3ccccc3C2C1C(=O)O,230.30222
N#Cc1cnc2ccccc2c1Nc1cccc(Cl)c1,279.7237
CCNC(=O)NC(C)C,130.18816
c1ccc(-c2nn[nH]n2)cc1,146.14934
c1ccc(C(OCCC2CCNCC2)c2ccccc2)cc1,295.4186
CN(C)C(=O)OC1=CSc2ccccc2-n2cccc21,286.34886
Nc1ccccc1S(N)(=O)=O,172.20492
COCC(=O)N1CCN(c2ccccc2)CC1,234.29421
CNCC(=O)OCc1ccccc1,179.21572
CC1CSC2CC(=O)C12,142.2187
CC1(C)SC2CCC2C1C(=O)O,186.27126
CSc1ccccc1N,139.21806
NCCC1=CNCC1,112.17288
CN1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,243.30427
CCc1cccnc1,107.15306
COC(COCc1ccccc1)Cn1ccnc1,246.30491
COC(CO)Cn1ccnc1,156.18237
COc1ccc2ccccc2c1,158.19649
CC1(CO)CN(c2ccccc2)NC1=O,206.24106
CNc1ccccc1OC,137.17904
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,266.38068
CC1CCCCN1S(=O)(=O)c1ccccc1,239.33388
O=C(Nc1cccnc1)N1CCc2ccccc21,239.27252
FC(F)(F)c1cn(-c2ccccc2)c(-c2ccccc2)n1,288.26714
FC(F)(F)c1cc(-c2ccccc2)n(-c2ccccc2)n1,288.26714
O=C(NCC1(c2ccccc2)CCCC1)Nc1ccccc1,294.39078
O=C(Nc1cccnc1)N1CCc2ccccc21,239.27252
CCC(N)C(=O)N1Cc2ccccc2CC1C,232.3214
COC(=O)C1CNCCC1c1ccccc1,219.27958
O=C(Nc1ccccc1)c1sccc1S,235.32526
CCC(C(=O)OC)C(C)N,145.1995
NN1CCOCC1,102.135
CC1=CCCC1C(=O)NCc1ccccc1,215.29088
CCN(C)C(=O)C1OC=CCC1N,184.23554
CC1SC(=O)NC1=O,131.153
CNC(C)C(=O)N1CCCC1C,170.25202
CC1(C)C2CCC1(CS)C(=O)C2,184.29843
CNC(C(=O)OC)c1cccs1,185.24344
C=CC(=O)Nc1ccccc1,147.17386
c1cnc2cc3c(cc2c1)OCO3,173.16808
C/C=C(/CC)C(=O)O,114.1424
CC(=O)NC1CC=CCC1,139.19492
CNC1C(O)C=C(C)CC1N,156.22544
O=C(O)C1=CCCCC1,126.15309
N=C(N)NNS,106.15014
CC12CCNC1Nc1ccccc12,174.24226
CCN(Cc1ccccc1)S(=O)(=O)c1ccccc1,275.36598
CCN(CC)S(=O)(=O)N(C)C,180.26844
COCc1ccccn1,123.15246
CCC(CN(C)C(=O)c1ccccc1)c1ccccc1,267.36544
CNCCNC,88.15148
NC1=Nc2cccc3cccc1c23,168.19462
CN1CCN(CCN2CCC3(CCCC3)CC2)CC1,265.43744
CCN1C(=O)CC2(CCCC2)CC1=O,195.25818
CNS(=O)(=O)c1ccccc1,171.21686
COc1ccccc1N1CCN(C)CC1,206.28411
CCCC(=O)OC,102.1317
c1cc(N2CCNCC2)c2occc2c1,202.25236
CCCCN1CCC(c2ccccc2)CC1,217.34982
CCN1C(=O)C2CCCCN2C1=O,182.21966
NC(=O)N(O)Cc1ccoc1,156.13932
CCCCNC(=N)NCC,143.22998
CC(C)N(O)C(N)=O,118.1344
CCCc1cc(C)cc(N)n1,150.22086
CCN1C(=O)C2CCCN2C1=O,168.19308
CNC1COCC1=O,115.13045
CC(=O)Nc1nc(-c2ccccc2)cs1,218.2749
N#CCCN,70.09314
CC(C)CC(N)C(=O)O,131.17292
CCC(N)C(=O)O,103.11975
CCC(CC)C(=O)O,116.15827
CC1CCCN1S(=O)(=O)c1ccc2c(c1)CCN2,266.35922
O=C1Nc2ccccc2C1=O,147.1308
O=C(Nc1ccccc1)Nc1ccsc1,218.2749
CCCCN1CCN(C)CC1,156.26849
CNC(CO)C(C)O,119.16222
O=S(=O)(c1cc2ccccc2s1)N1CCNCC1,282.38176
c1ccc(C2=NCCN2)cc1,146.1891
CCC(C#N)C(=O)O,113.11457
CCC(C(=O)NC(C)C)C(C)N,172.2679
Cc1cc(Cl)c(N)c2c1OCCO2,199.63419
Cc1cccc2c1S(=O)(=O)c1ccccc1O2,246.2817
Nc1ccccc1[N+](=O)[O-],138.12404
CCC(C(=O)NC(C)C)C(C)C,171.27983
O=S1(=O)c2ccccc2Cc2ccccc21,230.2823
O=S1(=O)c2ccccc2Oc2ccccc21,232.25512
NS(=O)(=O)Oc1ccccc1,173.18968
Cc1cccc(OC(F)(F)C(F)F)c1,208.15283
CCNC(=O)C(CC)C(C)C,157.25326
CN1c2ccccc2C(=O)Nc2cccnc21,225.24594
CC(=O)N1c2ccccc2CNc2cccnc21,239.27252
CCCN(CCC)C1CCc2ccc3[nH]ccc3c2C1,270.41243
N#Cc1c[nH]c2ccccc12,142.15734
CC(C)NC(=O)C(=O)C(C)N,158.19826
CNC1Cc2ccccc2C1O,163.21632
O=[N+]([O-])c1ccccc1Cl,157.55446
CCN(C(=O)NS(=O)(=O)c1ccccc1)C(C)C,270.34792
NC(=O)NS(=O)(=O)c1ccccc1,200.21502
CCCc1nsnc1C1=CCCNC1,209.3112
O=C(O)C1=CCCC=C1,124.13722
C1=C(n2ccnc2)CCC1,134.17839
c1ccc(NC2CCNCC2)cc1,176.25814
CN1CCC=C(c2cnsn2)C1,181.25804
COC(=O)CC(C)O,118.1311
N=Cc1c[nH]c2ccccc12,144.17321
CC(C)(S)C(=O)NO,135.18475
CC(S)CC(=O)NO,135.18476
CC1=CCN(C)CC1,111.18482
NC1CCN(Cc2ccccc2)CC1,190.28472
O=C1C=C2NCC3CCCCC3C2CC1,205.29606
Cc1ccccc1CO,122.1644
Nc1cscc1C(=O)NO,158.17834
CCOC(=O)CSC,134.1967
CCN1C(=O)NC(C)(C)C1=O,156.18237
N=C(Nc1ccccc1)Nc1ccccc1,211.26242
NS(=O)(=O)c1nc2ccccc2s1,214.26474
C=NC1CC=CC(OC)C1NC(C)=O,196.24623
CCC1SC(=O)NC1=O,145.17957
CC(N)Cc1cscn1,142.22199
C/C=C/c1ccc2ccccc2n1,169.22243
CCc1cc(NC)c(O)nc1C,166.22026
CC1N=CC(O)C1O,115.13046
CN1CCN(S)CC1,132.22717
NS(=O)(=O)C1=CCCS1,165.23388
Cc1cc[n+](Cc2ccccc2)cc1,184.25696
CNc1cnccn1,109.12918
CNCC(=O)Nc1nccs1,171.22016
CCNC1=NCCCN1,127.18752
O=C(O)C1CCCNC1,129.15704
CCn1c(=O)cc(Nc2ccccc2)[nH]c1=O,231.25052
CN(C(=N)Nc1ccccc1)c1ccccc1,225.289
CCc1c(Cc2ccccc2)oc2ccccc12,236.30834
CC1(C)C(=O)C(c2ccccc2)=C1c1ccccc1,248.31904
Brc1cccc(Nc2ncnc3ccccc23)c1,300.1533
C=C(C)c1cccc(C(C)(C)C)c1OCC,218.33457
Oc1nc2cc3ccccc3[nH]c-2n1,185.18208
C=C/C(SC)=C(\O)OCC,160.23398
C1CCN(C2CCNCC2)CC1,168.27919
CC(C)(C)NS(=O)(=O)c1ccccc1,213.2966
CC(C)NC(=O)OC(C)(C)C,159.22607
NCCC(=O)NO,104.10781
CCC(=O)NO,89.09318
O=C(CCc1ccccc1)c1ccccc1O,226.27046
O=[N+]([O-])Nc1ccccc1,138.12404
CC1c2ccccc2Oc2ccccc21,196.24448
c1ccc(OCc2ccc3ccccc3n2)cc1,235.28052
c1ccc(Nc2nccs2)nc1,177.22628
FC(F)(F)c1onc(-c2ccccc2)c1-c1ccccc1,289.2519
CC1CN(C(c2ccccc2)c2ccccc2)C(C)CN1C,294.43384
OC1(c2ccc3c(c2)OCO3)CCCCC1,220.26434
NCC(c1ccccc1)C1(O)CCCCC1,219.32264
COC(C)C(=O)N(C)C,131.17291
C1=C(c2c[nH]c3ccccc23)CNCC1,198.26366
C1=CC2(CCNCC2)Oc2ccccc21,201.2643
O=C1OC2CCCC2C1Sc1ccccc1,234.31406
c1ccc(CN2CCN(c3ccccc3)CC2)cc1,252.3541
