HBA,HBD,score,ratioHBA,ratioHBD
CNCCC(C)O,CNCC(O)CCN,0.44346,0.4,0.6
CNCCC(C)O,NC(=O)CC(O)C(F)(F)F,0.47201,0.4,0.6
CNCCC(C)O,CNC(CO)C(=O)O,0.43868,0.4,0.6
CNCCC(C)O,CN(C)CC(=O)O,0.43894,0.6,0.4
CNCCC(C)O,CC(C)=CC(=O)O,0.4206,0.4,0.6
CNCCC(C)O,CNCCO,0.43144,0.7,0.3
CNCCC(C)O,OCc1c[nH]cn1,0.47571,0.4,0.6
CNCCC(C)O,Cc1ccc(O)c(O)c1,0.44083,0.4,0.6
CNCCC(C)O,CNCC(=O)O,0.42737,0.4,0.6
CNCCC(C)O,CCc1c[nH]cn1,0.48449,0.4,0.6
CNCCC(C)O,CNC(C)C(=O)O,0.42575,0.4,0.6
CNCCC(C)O,NCCc1ccccc1,0.44725,0.5,0.5
CNCCC(C)O,NCCC(O)c1ccccc1,0.43862,0.4,0.6
CNCCC(C)O,CCCC(=O)NC,0.4428,0.4,0.6
CNCCC(C)O,O=C(O)/C=N/O,0.43796,0.4,0.6
CNCCC(C)O,c1nc(C2CC2)c[nH]1,0.48759,0.4,0.6
CNCCC(C)O,CC(C)(O)c1c[nH]cn1,0.47949,0.4,0.6
CNCCC(C)O,CCOC(N)=O,0.44508,0.3,0.7
CNCCC(C)O,CC(C)CC(=O)O,0.41498,0.4,0.6
CNCCC(C)O,CCC(N)C(O)CC(C)C,0.44604,0.4,0.6
CNCCC(C)O,CCC(O)C(N)CC(C)C,0.44565,0.4,0.6
CNCCC(C)O,OCC1OCCCC1O,0.44987,0.4,0.6
CNCCC(C)O,CC(O)CC(O)CC(=O)O,0.41944,0.4,0.6
CNCCC(C)O,CCc1cccc(OC)c1O,0.45595,0.4,0.6
CNCCC(C)O,COc1ccccc1O,0.44815,0.4,0.6
CNCCC(C)O,CC(N)Cc1ccccc1,0.44776,0.5,0.5
CNCCC(C)O,CC(C)(CO)C(=O)O,0.4319,0.4,0.6
CNCCC(C)O,OCCc1ccccc1,0.41941,0.4,0.6
CNCCC(C)O,CNC(CO)C(C)C,0.43963,0.8,0.2
CNCCC(C)O,NCc1ccccc1O,0.45287,0.4,0.6
CNCCC(C)O,OCC(O)CO,0.41659,0.4,0.6
CNCCC(C)O,CC12CCCCC1CCC2O,0.45919,0.4,0.6
CNCCC(C)O,O=C(O)CC1CCOC1,0.442,0.5,0.5
CNCCC(C)O,Cc1ccccc1CN,0.45206,0.5,0.5
CNCCC(C)O,Cc1ccccc1CO,0.42764,0.4,0.6
CNCCC(C)O,C/C(=N/O)C(=O)O,0.4393,0.4,0.6
CNCCC(C)O,CCOS(N)(=O)=O,0.47582,0.6,0.4
CNCCC(C)O,CNCC(N)=O,0.45492,0.4,0.6
CNCCC(C)O,CC(C)(C)c1cccc(C(C)(C)C)c1O,0.46919,0.6,0.4
CNCCC(C)O,CCC(NC)C(=O)O,0.43332,0.4,0.6
CNCCC(C)O,CC(C)CC(O)C(N)CN,0.45754,0.4,0.6
CNCCC(C)O,CCC(O)CO,0.41375,0.4,0.6
CNCCC(C)O,NC(=O)c1ccccc1,0.44464,0.4,0.6
CNCCC(C)O,OCC1OCCC1O,0.45677,0.4,0.6
CNCCC(C)O,CNC(C(=O)O)C(C)C,0.43747,0.7,0.3
